Row,Column,ESP,ID,FrameCnt,Latitude,Longitude,RSSI,SNR,Time
215,357,-129.2652406374628,104306,117,40.01242333,116.33840670000001,-111,-18.2,2018-12-28T00:21:16.893250213Z
222,354,-118.16954289279532,104311,121,40.01178833,116.33798829999999,-104,-14.0,2018-12-28T00:21:47.673379653Z
227,352,-122.59612087980608,104314,123,40.01129833,116.3377933,-112,-10.2,2018-12-28T00:21:58.57996184Z
233,350,-115.19331048066094,104317,125,40.01079833,116.3375817,-109,-5.0,2018-12-28T00:22:09.719443561Z
235,349,-110.26749156458187,104319,126,40.01064,116.33749499999999,-107,-0.5,2018-12-28T00:22:19.185168629Z
235,349,-109.45161530835512,104323,128,40.010645000000004,116.33750500000001,-107,1.2,2018-12-28T00:22:33.361362277Z
235,349,-121.23249407632484,104325,129,40.01062333,116.33749329999999,-111,-9.8,2018-12-28T00:22:39.263154473Z
235,349,-124.45410721860875,104326,130,40.01058667,116.3374483,-112,-12.2,2018-12-28T00:22:48.527535944Z
236,348,-120.5149694202523,104329,132,40.01051333,116.3374,-111,-9.0,2018-12-28T00:23:03.143551712Z
243,346,-119.96183611348222,104331,133,40.009915,116.33709170000002,-110,-9.5,2018-12-28T00:23:12.765646468Z
247,344,-126.21238401914258,104334,134,40.00956833,116.3369183,-113,-13.0,2018-12-28T00:23:18.430242139Z
248,344,-117.57833241382157,104335,135,40.009440000000005,116.33686170000001,-111,-5.5,2018-12-28T00:23:28.483545032Z
262,338,-127.30295006837878,104343,139,40.00814667,116.3362517,-111,-16.2,2018-12-28T00:24:05.286080427Z
264,338,-132.25190230097223,104346,141,40.00800833,116.33618999999999,-113,-19.2,2018-12-28T00:24:23.76476647Z
267,337,-120.40304509533891,104349,144,40.0077,116.33604170000001,-107,-13.2,2018-12-28T00:24:45.274020451Z
274,334,-118.95746206410163,104351,145,40.00711167,116.33573670000001,-111,-7.2,2018-12-28T00:24:54.961111077Z
277,333,-115.5149694202523,104353,146,40.00684667,116.33558000000001,-106,-9.0,2018-12-28T00:25:05.274008451Z
277,332,-122.8707776445072,104365,152,40.00678667,116.33555,-112,-10.5,2018-12-28T00:25:53.689275175Z
291,327,-124.79706163635328,104370,155,40.005584999999996,116.334915,-113,-11.5,2018-12-28T00:26:19.570570006Z
297,324,-119.63892034143379,104373,157,40.00503,116.3346383,-111,-8.0,2018-12-28T00:26:30.740767814Z
304,322,-113.13380807687734,104375,158,40.00439667,116.33432169999999,-106,-6.2,2018-12-28T00:26:39.327634706Z
308,320,-110.62401015882706,104377,159,40.00402833,116.33413999999999,-103,-6.8,2018-12-28T00:26:48.124470128Z
311,319,-113.1244260279434,104378,160,40.00376167,116.333995,-109,-2.0,2018-12-28T00:26:53.956163306Z
313,318,-111.63215008122023,104382,162,40.00357,116.33393000000001,-107,-2.8,2018-12-28T00:27:04.637190539Z
318,317,-120.5149694202523,104384,163,40.003095,116.33379,-111,-9.0,2018-12-28T00:27:13.814075301Z
322,316,-114.5993868649763,104386,164,40.002734999999994,116.33369499999999,-109,-4.2,2018-12-28T00:27:22.657962394Z
325,314,-122.59612087980608,104388,165,40.00244167,116.33348000000001,-112,-10.2,2018-12-28T00:27:33.091986356Z
331,312,-119.81209675612978,104390,166,40.001905,116.3332017,-111,-8.2,2018-12-28T00:27:42.074776476Z
335,310,-121.5149694202523,104394,168,40.00159833,116.33301170000001,-112,-9.0,2018-12-28T00:27:55.765401642Z
336,310,-128.02214159641585,104396,169,40.00146333,116.332975,-115,-12.8,2018-12-28T00:28:05.386152296Z
336,309,-125.02214159641585,104398,170,40.00144,116.3329233,-112,-12.8,2018-12-28T00:28:14.210492526Z
337,309,-115.69305820175224,104400,171,40.00142167,116.33288,-106,-9.2,2018-12-28T00:28:23.595442831Z
338,309,-119.33779541063677,104404,173,40.00133667,116.33283999999999,-110,-8.8,2018-12-28T00:28:38.05989458Z
339,309,-120.0738221927363,104406,175,40.001255,116.3328683,-111,-8.5,2018-12-28T00:28:56.725183923Z
339,309,-124.1469917995764,104408,176,40.00121833,116.3328817,-113,-10.8,2018-12-28T00:29:06.603489775Z
340,309,-123.79706163635328,104410,177,40.00110167,116.33283829999999,-112,-11.5,2018-12-28T00:29:16.431839295Z
347,307,-122.8707776445072,104412,178,40.00053333,116.33261,-112,-10.5,2018-12-28T00:29:25.78001634Z
353,305,-122.23249407632484,104414,179,39.999945000000004,116.3323633,-112,-9.8,2018-12-28T00:29:31.375471126Z
359,302,-121.5149694202523,104419,182,39.99942167,116.33211499999999,-112,-9.0,2018-12-28T00:29:56.914190957Z
359,302,-121.51754855702923,104421,183,39.999404999999996,116.3321,-110,-11.2,2018-12-28T00:30:02.339489169Z
359,302,-123.81209675612978,104425,185,39.999395,116.332085,-115,-8.2,2018-12-28T00:30:13.474049237Z
359,302,-124.8568770879973,104427,188,39.99936167,116.33204669999999,-106,-18.8,2018-12-28T00:30:34.770392385Z
360,302,-113.82474080687588,104428,189,39.999345,116.3320267,-110,-1.5,2018-12-28T00:30:44.382368191Z
361,300,-121.59612087980608,104434,192,39.99927,116.3317983,-111,-10.2,2018-12-28T00:31:05.077353038Z
360,298,-109.57833241382157,104438,194,39.99927167,116.33166000000001,-103,-5.5,2018-12-28T00:31:15.754886377Z
361,296,-112.63892034143379,104440,195,39.99924167,116.3314067,-104,-8.0,2018-12-28T00:31:21.074703037Z
361,296,-122.5149694202523,104444,197,39.99921833,116.3313617,-113,-9.0,2018-12-28T00:31:39.565632282Z
358,293,-122.26572375596102,104447,199,39.99945833,116.3309933,-110,-12.0,2018-12-28T00:31:53.935154467Z
349,293,-114.95746206410163,104449,201,40.00026333,116.33096670000002,-107,-7.2,2018-12-28T00:32:09.630895315Z
342,292,-126.0738221927363,104451,202,40.00097667,116.33093500000001,-117,-8.5,2018-12-28T00:32:14.676386338Z
329,292,-112.81412565612068,104455,205,40.00210167,116.3309,-106,-5.8,2018-12-28T00:32:34.433939216Z
329,292,-117.62401015882706,104459,207,40.00209667,116.3308933,-110,-6.8,2018-12-28T00:32:45.036827018Z
327,292,-116.81879480002064,104465,210,40.00226,116.33089,-111,-4.5,2018-12-28T01:44:45.96038348Z
311,292,-108.63215008122023,104470,213,40.00374667,116.33081829999999,-104,-2.8,2018-12-28T00:33:40.792061247Z
293,291,-110.10373555853748,104472,214,40.00538167,116.33077,-105,-3.5,2018-12-28T00:33:51.48991306Z
292,291,-108.26749156458187,104479,218,40.00546667,116.330745,-105,-0.5,2018-12-28T00:34:21.114190314Z
292,291,-113.5993868649763,104484,220,40.00547,116.33073329999999,-108,-4.2,2018-12-28T00:34:40.04552659Z
293,290,-111.53901891043868,104485,221,40.005325,116.33063999999999,-108,-1.0,2018-12-28T00:34:45.188971299Z
302,291,-113.53901891043868,104487,222,40.00454333,116.3306783,-110,-1.0,2018-12-28T00:34:54.376208614Z
311,291,-120.33779541063677,104489,223,40.00374,116.33071329999999,-111,-8.8,2018-12-28T00:35:04.257524682Z
317,291,-110.24814186348229,104491,224,40.00316167,116.3307517,-106,-2.2,2018-12-28T00:35:14.103863272Z
